pi@zincm:~/src/com-diag-diminuto/Diminuto $ sudo su
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# . out/host/bin/setup
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# pidtest
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
   117  391     35  10000  10071  10071    -71   -107    -21   -119      0     35
   118  391     35  10000  10066  10066    -66   -173     -5   -188      0     35
   119  391     35  10000  10055  10055    -55   -228    -11   -239     -1     34
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
   120  390     34  10000   9696   9696    304     76   -359    241      1     35
   121  391     35  10000  10080  10080    -80     -4    384   -120      0     35
   122  391     35  10000  10089  10089    -89    -93      9   -117      0     35
   123  391     35  10000  10104  10104   -104   -197     15   -226     -1     34
   124  391     34  10000   9634   9634    366    169   -470    377      1     35
   125  391     35  10000  10093  10093    -93     76    459    -61      0     35
   126  391     35  10000  10085  10085    -85     -9     -8    -28      0     35
   127  391     35  10000  10069  10069    -69    -78    -16    -91      0     35
   128  391     35  10000  10090  10090    -90   -168     21   -195      0     35
   129  391     35  10000  10079  10079    -79   -247    -11   -264     -1     34
   130  391     34  10000   9667   9667    333     86   -412    272      1     35
   131  391     35  10000  10079  10079    -79      7    412   -115      0     35
   132  391     35  10000  10098  10098    -98    -91     19   -119      0     35
   133  391     35  10000  10075  10075    -75   -166    -23   -179      0     35
   134  391     35  10000  10088  10088    -88   -254     13   -279     -1     34
   135  391     34  10000   9676   9676    324     70   -412    254      1     35
   136  391     35  10000  10092  10092    -92    -22    416   -149      0     35
   137  391     35  10000  10099  10099    -99   -121      7   -146      0     35
   138  391     35  10000  10079  10079    -79   -200    -20   -214     -1     34
   139  391     34  10000   9727   9727    273     73   -352    229      1     35
   140  391     35  10000  10086  10086    -86    -13    359   -123      0     35
   141  391     35  10000  10136  10136   -136   -149     50   -195      0     35
   142  391     35  10000  10074  10074    -74   -223    -62   -226     -1     34
   143  391     34  10000   9704   9704    296     73   -370    239      1     35
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
   144  391     35  10000  10081  10081    -81     -8    377   -122      0     35
   145  391     35  10000  10091  10091    -91    -99     10   -123      0     35
   146  391     35  10000  10082  10082    -82   -181     -9   -199      0     35
   147  391     35  10000  10069  10069    -69   -250    -13   -264     -1     34
   148  391     34  10000   9660   9660    340     90   -409    277      1     35
   149  391     35  10000  10048  10048    -48     42    388    -67      0     35
   150  391     35  10000  10087  10087    -87    -45     39    -75      0     35
   151  391     35  10000  10075  10075    -75   -120    -12   -135      0     35
   152  391     35  10000  10077  10077    -77   -197      2   -216     -1     34
   153  391     34  10000   9728   9728    272     75   -349    230      1     35
   154  391     35  10000  10099  10099    -99    -24    371   -140      0     35
   155  391     35  10000  10057  10057    -57    -81    -42    -85      0     35
   156  391     35  10000  10084  10084    -84   -165     27   -192      0     35
   157  391     35  10000  10097  10097    -97   -262     13   -289     -1     34
   158  391     34  10000   9681   9681    319     57   -416    240      1     35
   159  391     35  10000  10073  10073    -73    -16    392   -132      0     35
   160  391     35  10000  10080  10080    -80    -96      7   -117      0     35
   161  391     35  10000  10074  10074    -74   -170     -6   -187      0     35
   162  391     35  10000  10088  10088    -88   -258     14   -283     -1     34
   163  391     34  10000   9710   9710    290     32   -378    198      0     34
   164  391     34  10000   9716   9716    284    316      6    386      1     35
   165  391     35  10000  10074  10074    -74    242    358    135      0     35
   166  391     35  10000  10091  10091    -91    151     17    125      0     35
   167  391     35  10000  10075  10075    -75     76    -16     62      0     35
  STEP   MS   DUTY TARGET ACTUAL SAMPLE PROPOR  INTEG DIFFER  TOTAL  DELTA   NEXT
   168  391     35  10000  10086  10086    -86    -10     11    -33      0     35
^Cpidtest: interrupted
root@zinc:/home/pi/src/com-diag-diminuto/Diminuto# 
